#separator:tab
#html:true
#deck:AI Digital Characters::02_Attention_Deep_Learning
Front	Back	Tags
Sinusoidal positional encoding: PE(t,2i) = {{c1::sin(t/10000^(2i/d))}}, PE(t,2i+1) = {{c2::cos(t/10000^(2i/d))}}	Added to token embedding: ê_t = e_t + PE(t). Gives unique position signal without recurrence.<br><br><small><i>Source: L03:positional_encoding, solution_ex1:3c</i></small>	type:cloze batch:2
Exercise 1 attention: q=[3,1], k₁=[1,2], k₂=[2,0], d=2.<br>Compute scaled dot-product scores.	s₁ = (3·1+1·2)/√2 = 5/√2 ≈ <b>3.54</b><br>s₂ = (3·2+1·0)/√2 = 6/√2 ≈ <b>4.24</b><br><br><small><i>Source: solution_ex1:3d</i></small>	type:calc batch:2
Exercise 1 attention (cont.): scores≈[3.54, 4.24]. Softmax weights?	a₁ = e^3.54/(e^3.54+e^4.24) ≈ <b>0.331</b><br>a₂ ≈ <b>0.669</b><br><br><small><i>Source: solution_ex1:3d</i></small>	type:calc batch:2
Exercise 1 attention (cont.): v₁=[0,3], v₂=[1,1], weights 0.331/0.669.<br>Context vector?	c = 0.331·[0,3] + 0.669·[1,1] = <b>[0.669, 1.662]</b><br><br><small><i>Source: solution_ex1:3d</i></small>	type:calc batch:2
Exam 2025: X=[[1,2],[3,4]], PE(pos,0)=sin(pos), PE(pos,1)=cos(pos).<br>Compute X̂ (embeddings + PE) for positions 0 and 1.	PE(0)=[sin(0),cos(0)]=[0,1] → x̂₀=[1,2]+[0,1]=<b>[1,3]</b><br>PE(1)=[sin(1),cos(1)]≈[0.84,0.54] → x̂₁=[3,4]+[0.84,0.54]=<b>[3.84,4.54]</b><br><br><small><i>Source: exam2025:Q3b-i</i></small>	type:calc batch:2 priority:high
Bidirectional RNN — how does it work?	Two RNNs: left-to-right and right-to-left on the sequence. Hidden states combined (concat/add/multiply) so each position sees both past and future context.<br><br><small><i>Source: L03:bidirectional_rnn</i></small>	type:basic batch:2
RNN sequence classification — which hidden state is used?	Typically the <b>last token's hidden state</b> h_T (e.g., for sentiment classification).<br><br><small><i>Source: L03:sequence_classification</i></small>	type:basic batch:2
What is backpropagation through time (BPTT)?	Unfold RNN over time steps and apply standard backprop across the unfolded graph to train shared weights U, V, W.<br><br><small><i>Source: L03:BPTT</i></small>	type:basic batch:2
Exam 2025 Q3a: Why are RNNs suitable for sequential data?	They maintain a <b>hidden state</b> across time steps that summarizes past inputs — natural fit for text, speech, and video sequences.<br><br><small><i>Source: exam2025:Q3a-i</i></small>	type:basic batch:2
RNN language modeling objective?	J = −Σ_t log P(y_t | x₁…x_t) — maximize probability of next token given history. Training uses teacher forcing.<br><br><small><i>Source: L03:language_modeling</i></small>	type:basic batch:2
Cross-entropy loss for classification?	L = −Σ y_i · log(ŷ_i) — measures divergence between true distribution y and predicted ŷ. Used to train neural classifiers.<br><br><small><i>Source: L03:training</i></small>	type:basic batch:2
