#separator:tab
#html:true
#deck:AI Digital Characters::03_Speech_Recognition_Mel
Front	Back	Tags
Mel filter bank construction — 5 steps?	1. Convert f_low, f_high to Mel<br>2. Space N+2 points linearly in Mel<br>3. Convert back to Hz<br>4. Round to FFT bins<br>5. Create overlapping triangular filters (peak at center point)<br><br><small><i>Source: L04:mel_construction, exam2024:Q4</i></small>	type:basic batch:2 priority:high
Exercise 1 Mel: 100–2000 Hz, 4 filters (6 Mel points).<br>M_low and M_high?	M_low = 1127·ln(1+100/700) ≈ <b>150.36 Mel</b><br>M_high = 1127·ln(1+2000/700) ≈ <b>1521.45 Mel</b><br><br><small><i>Source: solution_ex1:4b</i></small>	type:calc batch:2
Exercise 1 Mel (cont.): ΔM=(1521.45−150.36)/5≈274.22.<br>List M₀…M₅ and Hz equivalents.	M: 150, 425, 699, 973, 1247, 1521<br>Hz: <b>100, 320, 600, 959, 1415, 2000</b><br><br><small><i>Source: solution_ex1:4b</i></small>	type:calc batch:2 priority:high
Exercise 1 Mel: define 4 triangular filters from 6 Hz points.	Filter 1: 100–320–600 Hz<br>Filter 2: 320–600–959 Hz<br>Filter 3: 600–959–1415 Hz<br>Filter 4: 959–1415–2000 Hz<br><br><small><i>Source: solution_ex1:4b</i></small>	type:basic batch:2
Exam 2024 Mel: 200–8000 Hz, 3 filters, 5 Mel points.<br>List all 5 Hz boundary points.	M_low≈301, M_high≈2840, Δ≈635<br>Hz: <b>200, 887, 2098, 4234, 8000</b><br><br><small><i>Source: exam2024:Q4</i></small>	type:calc batch:2 priority:high
Exercise 1 WER case 1: REF has 6 words, 2 substitutions (a→at, towel→all). WER?	WER = 100 × (2+0+0) / 6 = <b>33.3%</b><br><br><small><i>Source: solution_ex1:4c</i></small>	type:calc batch:2
Exercise 1 WER case 2: REF has 8 words, 2 substitutions + 1 insertion. WER?	WER = 100 × 3/8 = <b>37.5%</b><br><br><small><i>Source: solution_ex1:4c</i></small>	type:calc batch:2
CTC (Connectionist Temporal Classification) — key ideas?	Outputs per frame incl. <b>blank</b> token. Collapse consecutive duplicates → many alignments map to same output. Training uses dynamic programming over alignments.<br><br><small><i>Source: L04:CTC</i></small>	type:basic batch:2
RNN-Transducer — three components?	1. <b>Encoder</b> (acoustic model)<br>2. <b>Predictor</b> (language model, conditions on output so far)<br>3. <b>Joiner</b> (feedforward network combining encoder + predictor)<br><br><small><i>Source: L04:RNN-T</i></small>	type:basic batch:2 priority:high
Why does RNN-Transducer support streaming?	Online decoding: increment output index u on non-blank token, increment acoustic index t on blank — processes audio incrementally.<br><br><small><i>Source: L04:RNN-T, exam2024:Q1b</i></small>	type:basic batch:2 priority:high
Speech training augmentation — three types?	<b>Time warping</b> (distort time axis)<br><b>Frequency masking</b> (mask mel bands)<br><b>Time masking</b> (mask time frames)<br><br><small><i>Source: L04:augmentation</i></small>	type:basic batch:2
Analog-to-digital conversion — two steps?	<b>Sampling:</b> discrete time points.<br><b>Quantization:</b> map continuous amplitudes to finite discrete values (can be positive or negative).<br><br><small><i>Source: solution_ex1:1g, L04:adc</i></small>	type:basic batch:2
Why subsample acoustic features in encoder-decoder ASR?	Input acoustic sequence is much longer than output token sequence — subsampling (low frame rate, CNN pooling, pyramidal RNN) compresses time dimension.<br><br><small><i>Source: L04:subsampling</i></small>	type:basic batch:2
WER: define substitution, insertion, deletion.	<b>Substitution:</b> wrong word in place of REF word.<br><b>Insertion:</b> extra word in SYS not in REF.<br><b>Deletion:</b> REF word missing from SYS.<br><br><small><i>Source: L04:WER, solution_ex3:1i</i></small>	type:basic batch:2
Exam 2024 Mel: Hz points 200, 887, 2098, 4234, 8000 (3 filters).<br>Define filter 1 and filter 2 (start–peak–end).	Filter 1: <b>200 – 887 – 2098 Hz</b><br>Filter 2: <b>887 – 2098 – 4234 Hz</b><br>Filter 3: 2098 – 4234 – 8000 Hz<br><br><small><i>Source: exam2024:Q4</i></small>	type:calc batch:2 priority:high
Prosody in speech — what does it include?	Pitch (F0), duration, loudness, rhythm, intonation, prominence — NOT just spectral/formant features.<br><br><small><i>Source: L04:prosody, exam2025:Q1d</i></small>	type:basic batch:2
Whisper ASR architecture type?	Encoder-decoder Transformer trained on large-scale weakly supervised speech data (multilingual, multitask).<br><br><small><i>Source: L04:Whisper</i></small>	type:basic batch:2
