#separator:tab
#html:true
#deck:AI Digital Characters::00_Exam_MC_Traps
Front	Back	Tags
Autonomous agents are characterized by their ability to operate independently, react to their environment, and plan proactively. They also have control over their internal states.	<b>TRUE</b><br>Classic agent properties: autonomy, reactivity, pro-activeness, social ability (lecture L12).<br><br><small><i>Source: exam2024:Q1m, L12:agents</i></small>	type:mc batch:1 exam2024 priority:high
Dialogue trees offer high flexibility in responding to unexpected queries, but they are difficult to scale and require manual design for new topics.	<b>FALSE</b><br>Dialogue trees have <b>low flexibility</b> for unexpected queries; they <b>are</b> hard to scale (second part is true).<br><br><small><i>Source: exam2024:Q1n, solution_ex5:1b</i></small>	type:mc batch:1 exam2024 priority:high
In a reinforcement learning algorithm, the reward should be differentiable so that we can run back-propagation to train the policy based on data.	<b>FALSE</b><br>Rewards are <b>not required to be differentiable</b>. Policy gradients estimate gradients via sampled trajectories.<br><br><small><i>Source: exam2024:Q1o, solution_ex5:1e</i></small>	type:mc batch:1 exam2024 priority:high
We must collect reinforcement learning trajectories from agent-environment interactions when employing Proximal Policy Optimization (PPO) to learn the policy. The collected reinforcement learning trajectories can have various lengths.	<b>TRUE</b><br>PPO is on-policy: collects rollouts from current policy; trajectories can vary in length.<br><br><small><i>Source: exam2024:Q1p, L14:ppo</i></small>	type:mc batch:1 exam2024 priority:high
The animation principle "Slow In and Slow Out" emphasizes linear motion.	<b>FALSE</b><br>Slow In / Slow Out means <b>ease in and ease out</b> — acceleration/deceleration at start and end, not constant linear speed.<br><br><small><i>Source: exam2024:Q1q, L10:principles</i></small>	type:mc batch:1 exam2024 priority:high
Facial muscles attach to a bone and connect to the skin. When they contract, they create dynamic wrinkles that form perpendicular to the direction of muscle contraction.	<b>TRUE</b><br>Facial muscles attach bone-to-skin; wrinkles form <b>perpendicular</b> to contraction direction (lecture L10).<br><br><small><i>Source: exam2024:Q1r, L10:anatomy</i></small>	type:mc batch:1 exam2024
Linear blend skinning can handle large joint rotation angles without visual artifacts.	<b>FALSE</b><br>LBS causes <b>candy-wrapper</b> twisting and volume loss at large joint angles due to linear rotation blending.<br><br><small><i>Source: exam2024:Q1s, solution_ex4:2a5</i></small>	type:mc batch:1 exam2024 priority:high
Artifact detection is essential in affective computing because physiological signals like EEG and ECG can be contaminated by noise from muscle movements or environmental interference.	<b>TRUE</b><br>Biosignals need artifact removal (movement, EMG contamination, etc.) before reliable affect inference.<br><br><small><i>Source: exam2025:Q1a, L02:artifact_detection</i></small>	type:mc batch:1 exam2025 priority:high
In backpropagation, the gradient of the loss with respect to each weight is computed independently of the activation functions used in the network.	<b>FALSE</b><br>Backprop uses the <b>chain rule</b> — gradients depend on activation function derivatives (ReLU, sigmoid, etc.).<br><br><small><i>Source: exam2025:Q1b, L03:neural_nets</i></small>	type:mc batch:1 exam2025
Discrete Fourier Transform (DFT) is commonly applied to short-time frames of a speech signal to analyze how frequency content changes over time.	<b>TRUE</b><br>STFT: window speech → DFT per frame → spectrogram over time.<br><br><small><i>Source: exam2025:Q1c, L04:feature_extraction</i></small>	type:mc batch:1 exam2025 priority:high
Prosody refers exclusively to the spectral features of speech, such as formants and harmonics, without involving rhythm or intonation.	<b>FALSE</b><br>Prosody includes <b>pitch, duration, loudness, rhythm, intonation</b> — not just spectral features.<br><br><small><i>Source: exam2025:Q1d, solution_ex3:1c</i></small>	type:mc batch:1 exam2025 priority:high
Parameter-Efficient Fine-Tuning methods (PEFT) like LoRA and adapters reduce computational cost by freezing the majority of a pre-trained model's weights and learning only a small number of additional parameters.	<b>TRUE</b><br>PEFT keeps most LLM weights frozen; trains low-rank adapters or small added layers.<br><br><small><i>Source: exam2025:Q1e, solution_ex2:1c</i></small>	type:mc batch:1 exam2025 priority:high
Prompt engineering can be used to implicitly control the chatbot's tone, style, and persona without modifying the underlying model.	<b>TRUE</b><br>System prompts, role prompting, and style instructions shape output without weight updates.<br><br><small><i>Source: exam2025:Q1f, L06:prompting</i></small>	type:mc batch:1 exam2025
Hybrid fusion strategies eliminate the need for modality-specific embedding by treating all modalities identically throughout the model pipeline.	<b>FALSE</b><br>Hybrid fusion <b>combines</b> early and late fusion — still uses modality-specific encoders/embeddings.<br><br><small><i>Source: exam2025:Q1g, L07:multimodality</i></small>	type:mc batch:1 exam2025
Stress depends on sentence context, while accent is fixed within the word.	<b>TRUE</b><br>Word accent is lexical (fixed); sentence stress/placement varies with context and emphasis.<br><br><small><i>Source: exam2025:Q1h, L08:prosody</i></small>	type:mc batch:1 exam2025
WaveNet uses causal, dilated convolutions to model long-range temporal dependencies in sequential data such as speech.	<b>TRUE</b><br>WaveNet: stacked dilated causal convolutions for autoregressive waveform generation.<br><br><small><i>Source: exam2025:Q1i, solution_ex3:3a</i></small>	type:mc batch:1 exam2025 priority:high
In Linear Blend Skinning, each vertex is influenced by exactly one bone.	<b>FALSE</b><br>LBS blends influences from <b>multiple bones</b> with weights w_ij summing to 1.<br><br><small><i>Source: exam2025:Q1j, solution_ex4:1c</i></small>	type:mc batch:1 exam2025 priority:high
Linear interpolation between animation key frames often results in unnatural or abrupt motion rather than smooth transitions.	<b>TRUE</b><br>Pure linear interpolation lacks ease-in/out → mechanical motion; Disney's Slow In/Out fixes this.<br><br><small><i>Source: exam2025:Q1k, L10:principles</i></small>	type:mc batch:1 exam2025
In normalizing flows, the model learns only the prior distribution pZ, while the transformation functions remain fixed.	<b>FALSE</b><br>Normalizing flows learn <b>invertible transformation functions</b>; change of variables adjusts density via Jacobian determinant.<br><br><small><i>Source: exam2025:Q1l, solution_ex4:1h</i></small>	type:mc batch:1 exam2025 priority:high
An autonomous agent's actions are determined solely by its immediate perception of the environment.	<b>FALSE</b><br>Agents also use <b>internal state, goals, and proactive planning</b> — not perception alone.<br><br><small><i>Source: exam2025:Q1m, solution_ex5:1a</i></small>	type:mc batch:1 exam2025 priority:high
A primary disadvantage of dialogue trees is their limited flexibility, which makes it difficult for them to handle unexpected user queries or engage in open-ended conversations.	<b>TRUE</b><br>Dialogue trees are rigid, manually authored, poor at open-domain unexpected input.<br><br><small><i>Source: exam2025:Q1n, solution_ex5:1b</i></small>	type:mc batch:1 exam2025 priority:high
In on-policy reinforcement learning, data collected from older versions of the policy can be stored in a replay buffer and reused to improve training efficiency.	<b>FALSE</b><br>On-policy methods (PPO) use <b>current policy</b> data only. Replay buffers are off-policy (DQN, SAC).<br><br><small><i>Source: exam2025:Q1o, L14:rl_algorithms</i></small>	type:mc batch:1 exam2025 priority:high
In the Q-learning algorithm, the policy is implicitly derived by selecting the action with the highest estimated Q-value for a given state, rather than being represented by a separate, explicit policy network.	<b>TRUE</b><br>Q-learning: greedy policy π(s) = argmax_a Q(s,a); no separate policy network needed.<br><br><small><i>Source: exam2025:Q1p, L14:value_based</i></small>	type:mc batch:1 exam2025
Facial expression analysis and blood pressure measurement are both invasive sensing methods.	<b>FALSE</b><br>Facial analysis is <b>non-invasive</b> (video). Blood pressure measurement is <b>invasive/interactive</b> (cuff).<br><br><small><i>Source: solution_ex1:1a</i></small>	type:mc batch:1 exercise1
Action units refer to the motion of the whole body.	<b>FALSE</b><br>AUs are <b>facial muscle movements</b> (FACS), not whole-body motion.<br><br><small><i>Source: solution_ex1:1b</i></small>	type:mc batch:1 exercise1
ECG refers to recording electrical activity captured from the skin's surface.	<b>TRUE</b><br>ECG electrodes on skin record heart's electrical activity.<br><br><small><i>Source: solution_ex1:1c</i></small>	type:mc batch:1 exercise1
Softmax outputs are limited to the range [−1, 1].	<b>FALSE</b><br>Softmax outputs are in <b>[0, 1]</b> and sum to 1 (probabilities).<br><br><small><i>Source: solution_ex1:1d</i></small>	type:mc batch:1 exercise1
RNNs process all time steps simultaneously like Transformers.	<b>FALSE</b><br>RNNs process <b>sequentially</b>; Transformers use parallel self-attention.<br><br><small><i>Source: solution_ex1:1e</i></small>	type:mc batch:1 exercise1 priority:high
The attention mechanism assigns different weights to different parts of the input.	<b>TRUE</b><br>Attention computes a weighted sum — higher weight = more focus.<br><br><small><i>Source: solution_ex1:1f</i></small>	type:mc batch:1 exercise1
In ADC, quantization converts real-valued numbers to positive numbers only.	<b>FALSE</b><br>Quantization maps to a <b>finite discrete set</b> — can include negative values.<br><br><small><i>Source: solution_ex1:1g</i></small>	type:mc batch:1 exercise1
The fundamental frequency is the highest frequency component of a complex waveform.	<b>FALSE</b><br>Fundamental frequency is the <b>lowest</b> (most dominant periodic) frequency.<br><br><small><i>Source: solution_ex1:1h</i></small>	type:mc batch:1 exercise1
A Mel filter bank consists of overlapping rectangular filters.	<b>FALSE</b><br>Mel filters are <b>overlapping triangular</b> filters spaced on the Mel scale.<br><br><small><i>Source: solution_ex1:1i</i></small>	type:mc batch:1 exercise1 priority:high
Top-p sampling randomly picks from the p most likely words.	<b>FALSE</b><br>Top-<b>p</b> (nucleus): smallest set whose cumulative prob ≥ p. Top-<b>k</b> picks k most likely.<br><br><small><i>Source: solution_ex2:1a</i></small>	type:mc batch:1 exercise2 priority:high
More detailed prompts always lead to better AI-generated responses.	<b>FALSE</b><br>Overly detailed/restrictive prompts can reduce creativity and flexibility.<br><br><small><i>Source: solution_ex2:1b</i></small>	type:mc batch:1 exercise2
PEFT reduces the total number of model parameters.	<b>FALSE</b><br>PEFT trains a <b>subset</b> of params; total param count may increase (adapters) but compute cost drops.<br><br><small><i>Source: solution_ex2:1c</i></small>	type:mc batch:1 exercise2 priority:high
In-context learning involves training with prompt-response pairs.	<b>FALSE</b><br>ICL uses examples <b>at inference</b> without weight updates.<br><br><small><i>Source: solution_ex2:1d</i></small>	type:mc batch:1 exercise2 priority:high
RAG supplements LLM responses with retrieved external information.	<b>TRUE</b><br>RAG retrieves domain-specific/up-to-date docs to augment generation.<br><br><small><i>Source: solution_ex2:1e</i></small>	type:mc batch:1 exercise2 priority:high
MOS and A/B testing are identical qualitative evaluation methods.	<b>FALSE</b><br>MOS: absolute rating scale. A/B: <b>pairwise preference</b> comparison.<br><br><small><i>Source: solution_ex2:1f</i></small>	type:mc batch:1 exercise2
Multimodal chatbots can use user state modeling for more empathetic responses.	<b>TRUE</b><br>Voice tone, facial expression, sentiment → adaptive empathetic responses.<br><br><small><i>Source: solution_ex2:1g</i></small>	type:mc batch:1 exercise2
Late fusion is always superior to early fusion.	<b>FALSE</b><br>Choice depends on task; early fusion can capture cross-modal interactions better.<br><br><small><i>Source: solution_ex2:1h</i></small>	type:mc batch:1 exercise2
Chatbot personality uses the same five factors as the human Big Five model.	<b>FALSE</b><br>Chatbot traits: <b>artificiality, conscientiousness, vibrancy, civility, neuroticism</b>.<br><br><small><i>Source: solution_ex2:1i</i></small>	type:mc batch:1 exercise2
Text normalization is only needed to expand abbreviations like Dr. and Mr.	<b>FALSE</b><br>Also: number expansion, punctuation disambiguation, etc.<br><br><small><i>Source: solution_ex3:1a</i></small>	type:mc batch:1 exercise3
ML models can be trained to detect sentence boundaries from punctuation context.	<b>TRUE</b><br>Period can be abbreviation vs. sentence end — ML can disambiguate.<br><br><small><i>Source: solution_ex3:1b</i></small>	type:mc batch:1 exercise3
Prosodic analysis includes loudness but not pitch.	<b>FALSE</b><br>Prosody includes <b>pitch (F0), duration, and loudness</b>.<br><br><small><i>Source: solution_ex3:1c</i></small>	type:mc batch:1 exercise3
Prominence in speech refers to the volume of words only.	<b>FALSE</b><br>Prominence involves <b>pitch, duration, and sometimes loudness</b> — emphasis.<br><br><small><i>Source: solution_ex3:1d</i></small>	type:mc batch:1 exercise3
Putting two prominent accents right next to each other is known as a lapse.	<b>FALSE</b><br><b>Clash</b> = accents too close. <b>Lapse</b> = accents too far apart.<br><br><small><i>Source: solution_ex3:1e</i></small>	type:mc batch:1 exercise3 priority:high
Diphone synthesis often lacks natural prosody due to limited prerecorded units.	<b>TRUE</b><br>Small diphone inventory → less natural prosody than unit selection.<br><br><small><i>Source: solution_ex3:1f</i></small>	type:mc batch:1 exercise3
Unit selection synthesis produces more natural speech by choosing larger contextually appropriate segments.	<b>TRUE</b><br>Selects variable-length units from recorded speech for naturalness.<br><br><small><i>Source: solution_ex3:1g</i></small>	type:mc batch:1 exercise3
Concatenative synthesis generates speech by training neural networks on text.	<b>FALSE</b><br>Concatenative/unit selection uses <b>pre-recorded speech segments</b>.<br><br><small><i>Source: solution_ex3:1h</i></small>	type:mc batch:1 exercise3
When SYS adds a word not in REF, that is a deletion error.	<b>FALSE</b><br>Extra word in SYS = <b>insertion</b>. Missing word = <b>deletion</b>.<br><br><small><i>Source: solution_ex3:1i</i></small>	type:mc batch:1 exercise3
MOS uses an absolute scale while A/B tests ask for comparative preference.	<b>TRUE</b><br>MOS: 1–5 quality rating. A/B: prefer A or B.<br><br><small><i>Source: solution_ex3:1j</i></small>	type:mc batch:1 exercise3
Stylized characters are more likely to trigger the uncanny valley than realistic characters.	<b>FALSE</b><br><b>Realistic</b> characters near-human are more uncanny; stylized avoids the valley.<br><br><small><i>Source: solution_ex4:1a</i></small>	type:mc batch:1 exercise4
In an articulated model, joints are only visual connectors between bones.	<b>FALSE</b><br>Joints define <b>degrees of freedom</b> and how bones rotate/move.<br><br><small><i>Source: solution_ex4:1b</i></small>	type:mc batch:1 exercise4
In LBS, each vertex is influenced by exactly one bone.	<b>FALSE</b><br>Vertices blend multiple bones with weights.<br><br><small><i>Source: solution_ex4:1c</i></small>	type:mc batch:1 exercise4 priority:high
The Jacobian method is widely used for IK when analytical solutions aren't possible.	<b>TRUE</b><br>Numerical IK via Jacobian pseudoinverse is standard.<br><br><small><i>Source: solution_ex4:1d</i></small>	type:mc batch:1 exercise4
Damping forces depend on spring stiffness.	<b>FALSE</b><br>Damping depends on <b>velocity</b>; stiffness affects spring force.<br><br><small><i>Source: solution_ex4:1e</i></small>	type:mc batch:1 exercise4
Diverse movements are particularly important for stylized characters.	<b>TRUE</b><br>Stylized animation emphasizes expressive, varied motion.<br><br><small><i>Source: solution_ex4:1f</i></small>	type:mc batch:1 exercise4
When m < d, manifold learning performs dimensionality reduction.	<b>TRUE</b><br>High-dimensional data (d) projected to lower intrinsic dimension (m).<br><br><small><i>Source: solution_ex4:1g</i></small>	type:mc batch:1 exercise4
Normalizing flows use invertible functions; the Jacobian determinant adjusts density.	<b>TRUE</b><br>Change of variables: p_X(x) = p_Z(f⁻¹(x)) · |det J_{f⁻¹}(x)|.<br><br><small><i>Source: solution_ex4:1h</i></small>	type:mc batch:1 exercise4 priority:high
Proactive agents primarily respond to immediate environmental changes.	<b>FALSE</b><br><b>Reactivity</b> = immediate response. <b>Proactiveness</b> = planning for future opportunities.<br><br><small><i>Source: solution_ex5:1a</i></small>	type:mc batch:1 exercise5 priority:high
Dialogue trees are highly scalable for new topics.	<b>FALSE</b><br>New topics require <b>manual design</b> — poor scalability.<br><br><small><i>Source: solution_ex5:1b</i></small>	type:mc batch:1 exercise5 priority:high
Link prediction determines whether a relationship should exist between two entities.	<b>TRUE</b><br>Link prediction infers missing edges in a knowledge graph.<br><br><small><i>Source: solution_ex5:1c</i></small>	type:mc batch:1 exercise5
Knowledge graph embeddings can answer queries on large incomplete graphs.	<b>TRUE</b><br>KGE enables similarity search and link prediction when SPARQL is insufficient.<br><br><small><i>Source: solution_ex5:1d</i></small>	type:mc batch:1 exercise5
In RL, the transition model must be differentiable.	<b>FALSE</b><br>Transition model need not be differentiable; RL handles non-differentiable simulators.<br><br><small><i>Source: solution_ex5:1e</i></small>	type:mc batch:1 exercise5 priority:high
Monte Carlo policy gradient requires on-policy trajectories.	<b>TRUE</b><br>Policy gradient methods collect trajectories from the current policy.<br><br><small><i>Source: solution_ex5:1f</i></small>	type:mc batch:1 exercise5
The optimal policy maximizes each individual future reward step.	<b>FALSE</b><br>Policy maximizes <b>expected discounted return</b>, not each individual reward.<br><br><small><i>Source: solution_ex5:1g</i></small>	type:mc batch:1 exercise5
Actor-Critic methods use a value function as baseline to reduce variance.	<b>TRUE</b><br>Critic estimates V(s) or Q(s,a) to reduce variance of policy gradient estimates.<br><br><small><i>Source: solution_ex5:1h</i></small>	type:mc batch:1 exercise5 priority:high
