#separator:tab
#html:true
#deck:AI Digital Characters::01_Affective_Computing
Front	Back	Tags
Exam 2025: R-R interval 400 ms. Heart rate in bpm?	HR = 60000 / RR_ms = 60000/400 = <b>150 bpm</b> (unusually high → suspicious).<br><br><small><i>Source: exam2025:Q2c-i</i></small>	type:calc batch:2
Exam 2025 artifact: RR={795,800,400,810,800,805}. Q1=795, Q3=805, median=800.<br>Compute CBD. Is 400 ms an artifact vs. last valid 800 ms?	QD = (805−795)/2 = <b>5</b><br>MAD = (800−2.9·5)/3 = <b>261.83</b><br>MED = 3.32·5 = <b>16.60</b><br>CBD = (261.83+16.60)/2 = <b>139.22</b><br>|400−800| = 400 > CBD → <b>artifact</b><br><br><small><i>Source: exam2025:Q2c-ii, L02:artifact_detection</i></small>	type:calc batch:2 priority:high
Self-Assessment Manikin (SAM) — what three dimensions?	Valence, Arousal, Dominance — used as ground truth for affect labeling.<br><br><small><i>Source: L02:SAM</i></small>	type:basic batch:2
Boredom in the dimensional model?	<b>Low valence</b> (mildly unpleasant), <b>low arousal</b> (passive), <b>medium-to-low dominance</b>.<br><br><small><i>Source: solution_ex1:2b</i></small>	type:basic batch:2
Video-based emotion recognition pipeline (4 stages)?	Preprocessing (frame rate, brightness) → Feature extraction (AUs, gaze, MAR, fidgeting) → Classification (valence/arousal) → Output<br><br><small><i>Source: L02:video_pipeline</i></small>	type:basic batch:2
Basic emotions theory (Ekman) — three key claims?	1. Caused by phylogenetic event categories<br>2. Elicit physiological + expressive signals<br>3. Trigger innate action plans (fight/flight)<br><br><small><i>Source: L02:basic_emotions_theory</i></small>	type:basic batch:2
What is core affect in dimensional emotion theory?	Most elementary affective feelings (valence + arousal) — part of but not identical to a full emotional episode (which also includes cognitive appraisal, action tendencies).<br><br><small><i>Source: L02:dimensional</i></small>	type:basic batch:2
Biosensor pipeline for affect classification?	Raw signal → artifact detection → feature extraction (HRV stats, SC phasic/tonic) → classifier (e.g. Random Forest) → valence/arousal prediction.<br><br><small><i>Source: L02:biosensor_pipeline</i></small>	type:basic batch:2
Fear Action Units (from lecture table)?	AU1 + AU2 + AU4 + AU5 + AU7 + AU20 + AU26 (brow raisers, lid raiser, lip stretcher, jaw drop, etc.)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2
Anger Action Units?	AU4 + AU5 + AU7 + AU23 (Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2
