#separator:tab
#html:true
Front	Back	Tags	Deck
In the Q-learning algorithm, the policy is implicitly derived by selecting the action with the highest estimated Q-value for a given state, rather than being represented by a separate, explicit policy network.	<b>TRUE</b><br>Q-learning: greedy policy π(s) = argmax_a Q(s,a); no separate policy network needed.<br><br><small><i>Source: exam2025:Q1p, L14:value_based</i></small>	type:mc batch:1 exam2025	AI Digital Characters::00_Exam_MC_Traps
Facial expression analysis and blood pressure measurement are both invasive sensing methods.	<b>FALSE</b><br>Facial analysis is <b>non-invasive</b> (video). Blood pressure measurement is <b>invasive/interactive</b> (cuff).<br><br><small><i>Source: solution_ex1:1a</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
Action units refer to the motion of the whole body.	<b>FALSE</b><br>AUs are <b>facial muscle movements</b> (FACS), not whole-body motion.<br><br><small><i>Source: solution_ex1:1b</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
ECG refers to recording electrical activity captured from the skin's surface.	<b>TRUE</b><br>ECG electrodes on skin record heart's electrical activity.<br><br><small><i>Source: solution_ex1:1c</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
Softmax outputs are limited to the range [−1, 1].	<b>FALSE</b><br>Softmax outputs are in <b>[0, 1]</b> and sum to 1 (probabilities).<br><br><small><i>Source: solution_ex1:1d</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
RNNs process all time steps simultaneously like Transformers.	<b>FALSE</b><br>RNNs process <b>sequentially</b>; Transformers use parallel self-attention.<br><br><small><i>Source: solution_ex1:1e</i></small>	type:mc batch:1 exercise1 priority:high	AI Digital Characters::00_Exam_MC_Traps
The attention mechanism assigns different weights to different parts of the input.	<b>TRUE</b><br>Attention computes a weighted sum — higher weight = more focus.<br><br><small><i>Source: solution_ex1:1f</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
In ADC, quantization converts real-valued numbers to positive numbers only.	<b>FALSE</b><br>Quantization maps to a <b>finite discrete set</b> — can include negative values.<br><br><small><i>Source: solution_ex1:1g</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
The fundamental frequency is the highest frequency component of a complex waveform.	<b>FALSE</b><br>Fundamental frequency is the <b>lowest</b> (most dominant periodic) frequency.<br><br><small><i>Source: solution_ex1:1h</i></small>	type:mc batch:1 exercise1	AI Digital Characters::00_Exam_MC_Traps
A Mel filter bank consists of overlapping rectangular filters.	<b>FALSE</b><br>Mel filters are <b>overlapping triangular</b> filters spaced on the Mel scale.<br><br><small><i>Source: solution_ex1:1i</i></small>	type:mc batch:1 exercise1 priority:high	AI Digital Characters::00_Exam_MC_Traps
Top-p sampling randomly picks from the p most likely words.	<b>FALSE</b><br>Top-<b>p</b> (nucleus): smallest set whose cumulative prob ≥ p. Top-<b>k</b> picks k most likely.<br><br><small><i>Source: solution_ex2:1a</i></small>	type:mc batch:1 exercise2 priority:high	AI Digital Characters::00_Exam_MC_Traps
More detailed prompts always lead to better AI-generated responses.	<b>FALSE</b><br>Overly detailed/restrictive prompts can reduce creativity and flexibility.<br><br><small><i>Source: solution_ex2:1b</i></small>	type:mc batch:1 exercise2	AI Digital Characters::00_Exam_MC_Traps
PEFT reduces the total number of model parameters.	<b>FALSE</b><br>PEFT trains a <b>subset</b> of params; total param count may increase (adapters) but compute cost drops.<br><br><small><i>Source: solution_ex2:1c</i></small>	type:mc batch:1 exercise2 priority:high	AI Digital Characters::00_Exam_MC_Traps
In-context learning involves training with prompt-response pairs.	<b>FALSE</b><br>ICL uses examples <b>at inference</b> without weight updates.<br><br><small><i>Source: solution_ex2:1d</i></small>	type:mc batch:1 exercise2 priority:high	AI Digital Characters::00_Exam_MC_Traps
RAG supplements LLM responses with retrieved external information.	<b>TRUE</b><br>RAG retrieves domain-specific/up-to-date docs to augment generation.<br><br><small><i>Source: solution_ex2:1e</i></small>	type:mc batch:1 exercise2 priority:high	AI Digital Characters::00_Exam_MC_Traps
MOS and A/B testing are identical qualitative evaluation methods.	<b>FALSE</b><br>MOS: absolute rating scale. A/B: <b>pairwise preference</b> comparison.<br><br><small><i>Source: solution_ex2:1f</i></small>	type:mc batch:1 exercise2	AI Digital Characters::00_Exam_MC_Traps
Multimodal chatbots can use user state modeling for more empathetic responses.	<b>TRUE</b><br>Voice tone, facial expression, sentiment → adaptive empathetic responses.<br><br><small><i>Source: solution_ex2:1g</i></small>	type:mc batch:1 exercise2	AI Digital Characters::00_Exam_MC_Traps
Late fusion is always superior to early fusion.	<b>FALSE</b><br>Choice depends on task; early fusion can capture cross-modal interactions better.<br><br><small><i>Source: solution_ex2:1h</i></small>	type:mc batch:1 exercise2	AI Digital Characters::00_Exam_MC_Traps
Chatbot personality uses the same five factors as the human Big Five model.	<b>FALSE</b><br>Chatbot traits: <b>artificiality, conscientiousness, vibrancy, civility, neuroticism</b>.<br><br><small><i>Source: solution_ex2:1i</i></small>	type:mc batch:1 exercise2	AI Digital Characters::00_Exam_MC_Traps
Text normalization is only needed to expand abbreviations like Dr. and Mr.	<b>FALSE</b><br>Also: number expansion, punctuation disambiguation, etc.<br><br><small><i>Source: solution_ex3:1a</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
ML models can be trained to detect sentence boundaries from punctuation context.	<b>TRUE</b><br>Period can be abbreviation vs. sentence end — ML can disambiguate.<br><br><small><i>Source: solution_ex3:1b</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
Prosodic analysis includes loudness but not pitch.	<b>FALSE</b><br>Prosody includes <b>pitch (F0), duration, and loudness</b>.<br><br><small><i>Source: solution_ex3:1c</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
Prominence in speech refers to the volume of words only.	<b>FALSE</b><br>Prominence involves <b>pitch, duration, and sometimes loudness</b> — emphasis.<br><br><small><i>Source: solution_ex3:1d</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
Putting two prominent accents right next to each other is known as a lapse.	<b>FALSE</b><br><b>Clash</b> = accents too close. <b>Lapse</b> = accents too far apart.<br><br><small><i>Source: solution_ex3:1e</i></small>	type:mc batch:1 exercise3 priority:high	AI Digital Characters::00_Exam_MC_Traps
Diphone synthesis often lacks natural prosody due to limited prerecorded units.	<b>TRUE</b><br>Small diphone inventory → less natural prosody than unit selection.<br><br><small><i>Source: solution_ex3:1f</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
Unit selection synthesis produces more natural speech by choosing larger contextually appropriate segments.	<b>TRUE</b><br>Selects variable-length units from recorded speech for naturalness.<br><br><small><i>Source: solution_ex3:1g</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
Concatenative synthesis generates speech by training neural networks on text.	<b>FALSE</b><br>Concatenative/unit selection uses <b>pre-recorded speech segments</b>.<br><br><small><i>Source: solution_ex3:1h</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
When SYS adds a word not in REF, that is a deletion error.	<b>FALSE</b><br>Extra word in SYS = <b>insertion</b>. Missing word = <b>deletion</b>.<br><br><small><i>Source: solution_ex3:1i</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
MOS uses an absolute scale while A/B tests ask for comparative preference.	<b>TRUE</b><br>MOS: 1–5 quality rating. A/B: prefer A or B.<br><br><small><i>Source: solution_ex3:1j</i></small>	type:mc batch:1 exercise3	AI Digital Characters::00_Exam_MC_Traps
Stylized characters are more likely to trigger the uncanny valley than realistic characters.	<b>FALSE</b><br><b>Realistic</b> characters near-human are more uncanny; stylized avoids the valley.<br><br><small><i>Source: solution_ex4:1a</i></small>	type:mc batch:1 exercise4	AI Digital Characters::00_Exam_MC_Traps
In an articulated model, joints are only visual connectors between bones.	<b>FALSE</b><br>Joints define <b>degrees of freedom</b> and how bones rotate/move.<br><br><small><i>Source: solution_ex4:1b</i></small>	type:mc batch:1 exercise4	AI Digital Characters::00_Exam_MC_Traps
In LBS, each vertex is influenced by exactly one bone.	<b>FALSE</b><br>Vertices blend multiple bones with weights.<br><br><small><i>Source: solution_ex4:1c</i></small>	type:mc batch:1 exercise4 priority:high	AI Digital Characters::00_Exam_MC_Traps
The Jacobian method is widely used for IK when analytical solutions aren't possible.	<b>TRUE</b><br>Numerical IK via Jacobian pseudoinverse is standard.<br><br><small><i>Source: solution_ex4:1d</i></small>	type:mc batch:1 exercise4	AI Digital Characters::00_Exam_MC_Traps
Damping forces depend on spring stiffness.	<b>FALSE</b><br>Damping depends on <b>velocity</b>; stiffness affects spring force.<br><br><small><i>Source: solution_ex4:1e</i></small>	type:mc batch:1 exercise4	AI Digital Characters::00_Exam_MC_Traps
Diverse movements are particularly important for stylized characters.	<b>TRUE</b><br>Stylized animation emphasizes expressive, varied motion.<br><br><small><i>Source: solution_ex4:1f</i></small>	type:mc batch:1 exercise4	AI Digital Characters::00_Exam_MC_Traps
When m < d, manifold learning performs dimensionality reduction.	<b>TRUE</b><br>High-dimensional data (d) projected to lower intrinsic dimension (m).<br><br><small><i>Source: solution_ex4:1g</i></small>	type:mc batch:1 exercise4	AI Digital Characters::00_Exam_MC_Traps
Normalizing flows use invertible functions; the Jacobian determinant adjusts density.	<b>TRUE</b><br>Change of variables: p_X(x) = p_Z(f⁻¹(x)) · |det J_{f⁻¹}(x)|.<br><br><small><i>Source: solution_ex4:1h</i></small>	type:mc batch:1 exercise4 priority:high	AI Digital Characters::00_Exam_MC_Traps
Proactive agents primarily respond to immediate environmental changes.	<b>FALSE</b><br><b>Reactivity</b> = immediate response. <b>Proactiveness</b> = planning for future opportunities.<br><br><small><i>Source: solution_ex5:1a</i></small>	type:mc batch:1 exercise5 priority:high	AI Digital Characters::00_Exam_MC_Traps
Dialogue trees are highly scalable for new topics.	<b>FALSE</b><br>New topics require <b>manual design</b> — poor scalability.<br><br><small><i>Source: solution_ex5:1b</i></small>	type:mc batch:1 exercise5 priority:high	AI Digital Characters::00_Exam_MC_Traps
Link prediction determines whether a relationship should exist between two entities.	<b>TRUE</b><br>Link prediction infers missing edges in a knowledge graph.<br><br><small><i>Source: solution_ex5:1c</i></small>	type:mc batch:1 exercise5	AI Digital Characters::00_Exam_MC_Traps
Knowledge graph embeddings can answer queries on large incomplete graphs.	<b>TRUE</b><br>KGE enables similarity search and link prediction when SPARQL is insufficient.<br><br><small><i>Source: solution_ex5:1d</i></small>	type:mc batch:1 exercise5	AI Digital Characters::00_Exam_MC_Traps
In RL, the transition model must be differentiable.	<b>FALSE</b><br>Transition model need not be differentiable; RL handles non-differentiable simulators.<br><br><small><i>Source: solution_ex5:1e</i></small>	type:mc batch:1 exercise5 priority:high	AI Digital Characters::00_Exam_MC_Traps
Monte Carlo policy gradient requires on-policy trajectories.	<b>TRUE</b><br>Policy gradient methods collect trajectories from the current policy.<br><br><small><i>Source: solution_ex5:1f</i></small>	type:mc batch:1 exercise5	AI Digital Characters::00_Exam_MC_Traps
The optimal policy maximizes each individual future reward step.	<b>FALSE</b><br>Policy maximizes <b>expected discounted return</b>, not each individual reward.<br><br><small><i>Source: solution_ex5:1g</i></small>	type:mc batch:1 exercise5	AI Digital Characters::00_Exam_MC_Traps
Actor-Critic methods use a value function as baseline to reduce variance.	<b>TRUE</b><br>Critic estimates V(s) or Q(s,a) to reduce variance of policy gradient estimates.<br><br><small><i>Source: solution_ex5:1h</i></small>	type:mc batch:1 exercise5 priority:high	AI Digital Characters::00_Exam_MC_Traps
What is the sequence in the James-Lange theory of emotion?	<b>Stimulus → Physiological response → Emotion</b><br>Example: see snake → heart races → feel fear.<br><br><small><i>Source: solution_ex1:2a, exam2024:Q1c</i></small>	type:basic batch:1 priority:high	AI Digital Characters::01_Affective_Computing
What is the Cannon-Bard theory of emotion?	Physiological arousal and emotional experience occur <b>simultaneously</b> — both triggered by the stimulus in parallel (not sequentially).<br><br><small><i>Source: solution_ex1:2a, exam2025:Q2a</i></small>	type:basic batch:1 priority:high	AI Digital Characters::01_Affective_Computing
What is the Schachter-Singer (two-factor) theory of emotion?	Emotion = <b>physiological arousal</b> + <b>cognitive interpretation</b> of the situation. Same arousal can yield different emotions depending on context.<br><br><small><i>Source: solution_ex1:2a, exam2025:Q2a</i></small>	type:basic batch:1	AI Digital Characters::01_Affective_Computing
In the dimensional model, define valence, arousal, and dominance.	<b>Valence:</b> pleasantness (+/−)<br><b>Arousal:</b> intensity/activation<br><b>Dominance:</b> sense of control vs. helplessness<br><br><small><i>Source: solution_ex1:2b</i></small>	type:basic batch:1	AI Digital Characters::01_Affective_Computing
"Anxious, tense, and helpless" — dimensional description?	<b>Negative valence</b>, <b>high arousal</b>, <b>low dominance</b> (feeling overwhelmed, not in control).<br><br><small><i>Source: exam2025:Q2b</i></small>	type:basic batch:1 priority:high	AI Digital Characters::01_Affective_Computing
What are Action Units (AUs)?	Specific <b>facial muscle movements</b> from the Facial Action Coding System (FACS). Used to detect facial expressions linked to emotions.<br><br><small><i>Source: solution_ex1:1b, exam2024:Q2a</i></small>	type:basic batch:1	AI Digital Characters::01_Affective_Computing
What does HRV (heart rate variability) measure and what does higher HRV suggest?	HRV = variation in beat-to-beat intervals.<br><b>Higher HRV</b> → more relaxed/adaptive autonomic state, often linked to positive emotion and stress resilience.<br><br><small><i>Source: solution_ex1:2d, exam2024:Q2b</i></small>	type:basic batch:1	AI Digital Characters::01_Affective_Computing
What does skin conductance (SC) measure?	Electrodermal activity — sweat gland activity reflecting <b>sympathetic arousal</b>. Used as arousal indicator in affective computing.<br><br><small><i>Source: exam2024:Q2b, L02:skin_conductance</i></small>	type:basic batch:1	AI Digital Characters::01_Affective_Computing
Name the four features of a phasic skin conductance response.	<b>Amplitude</b> — peak height<br><b>Latency</b> — time from stimulus to response onset<br><b>Rise time</b> — time to peak<br><b>Half-recovery time</b> — time from peak to 50% recovery<br><br><small><i>Source: exam2024:Q2c, L02:skin_conductance</i></small>	type:basic batch:1 priority:high	AI Digital Characters::01_Affective_Computing
How is SC decomposed into phasic and tonic components?	Using <b>convex optimization</b> to separate fast event-related phasic responses from slow tonic baseline drift.<br><br><small><i>Source: exam2024:Q1d, L02:skin_conductance</i></small>	type:basic batch:1	AI Digital Characters::01_Affective_Computing
Ekman's six basic emotions?	Joy, Sadness, Disgust, Surprise, Anger, Fear<br><br><small><i>Source: L02:basic_emotions</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Which Action Units indicate Happiness (Ekman/FACS)?	<b>AU6</b> (Cheek Raiser) + <b>AU12</b> (Lip Corner Puller)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Which Action Units indicate Surprise?	<b>AU1</b> (Inner Brow Raiser) + <b>AU2</b> (Outer Brow Raiser) + <b>AU5</b> (Upper Lid Raiser) + <b>AU26</b> (Jaw Drop)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Mouth Aspect Ratio (MAR) formula?	MAR = (|p₂−p₈| + |p₃−p₇| + |p₄−p₆|) / (3 · |p₅−p₁|)<br>Uses facial landmarks; measures mouth openness.<br><br><small><i>Source: L02:MAR, exam2024:Q2a</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
How is fidgeting detected from video? (4 steps)	1. f_temp = f_gray − b_gray<br>2. Binarize f_temp (threshold)<br>3. Energy E = % surviving pixels<br>4. Update background: b = (1−α)b + α·f_gray<br><br><small><i>Source: L02:fidgeting, solution_ex1:2c</i></small>	type:basic batch:2 priority:high	AI Digital Characters::01_Affective_Computing
Exercise 1 fidgeting: 9 pixels, 8 survive threshold. Compute Energy E (%).	E = (surviving pixels / total pixels) × 100 = 8/9 × 100 = <b>88.89%</b><br><br><small><i>Source: solution_ex1:2c</i></small>	type:calc batch:2	AI Digital Characters::01_Affective_Computing
What does OpenFace output?	68 facial landmarks, AU intensities [0,5], AU presence (binary), eye gaze, head pose.<br><br><small><i>Source: L02:OpenFace</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
How are eye blinks detected?	Based on <b>AU45</b> (eye blink), evaluated per frame — intensity and blink events.<br><br><small><i>Source: L02:eye_blinks</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
